sequence,grid_row,grid_column,x_m,y_m,z_m,terrain_z_m,altitude_asl_m
0,0,0,-735.0,735.0,49.928466796875,29.928466796875,650.384521484375
1,0,1,-705.0,735.0,50.6053466796875,30.6053466796875,651.0614013671875
2,0,2,-675.0,735.0,51.33880615234375,31.33880615234375,651.7948608398438
3,0,3,-645.0,735.0,52.175048828125,32.175048828125,652.631103515625
4,0,4,-615.0,735.0,53.24603271484375,33.24603271484375,653.7020874023438
5,0,5,-585.0,735.0,54.482421875,34.482421875,654.9384765625
6,0,6,-555.0,735.0,55.77545166015625,35.77545166015625,656.2315063476562
7,0,7,-525.0,735.0,57.10498046875,37.10498046875,657.56103515625
8,0,8,-495.0,735.0,58.13909912109375,38.13909912109375,658.5951538085938
9,0,9,-465.0,735.0,58.84735107421875,38.84735107421875,659.3034057617188
10,0,10,-435.0,735.0,59.29248046875,39.29248046875,659.74853515625
11,0,11,-405.0,735.0,59.73272705078125,39.73272705078125,660.1887817382812
12,0,12,-375.0,735.0,60.4505615234375,40.4505615234375,660.9066162109375
13,0,13,-345.0,735.0,61.612060546875,41.612060546875,662.068115234375
14,0,14,-315.0,735.0,62.96002197265625,42.96002197265625,663.4160766601562
15,0,15,-285.0,735.0,64.0074462890625,44.0074462890625,664.4635009765625
16,0,16,-255.0,735.0,64.583984375,44.583984375,665.0400390625
17,0,17,-225.0,735.0,64.85028076171875,44.85028076171875,665.3063354492188
18,0,18,-195.0,735.0,64.92327880859375,44.92327880859375,665.3793334960938
19,0,19,-165.0,735.0,65.20123291015625,45.20123291015625,665.6572875976562
20,0,20,-135.0,735.0,65.4791259765625,45.4791259765625,665.9351806640625
21,0,21,-105.0,735.0,65.4451904296875,45.4451904296875,665.9012451171875
22,0,22,-75.0,735.0,65.15838623046875,45.15838623046875,665.6144409179688
23,0,23,-45.0,735.0,64.67755126953125,44.67755126953125,665.1336059570312
24,0,24,-15.0,735.0,64.1405029296875,44.1405029296875,664.5965576171875
25,0,25,15.0,735.0,63.059814453125,43.059814453125,663.515869140625
26,0,26,45.0,735.0,61.58636474609375,41.58636474609375,662.0424194335938
27,0,27,75.0,735.0,60.115478515625,40.115478515625,660.571533203125
28,0,28,105.0,735.0,58.47991943359375,38.47991943359375,658.9359741210938
29,0,29,135.0,735.0,57.3974609375,37.3974609375,657.853515625
30,0,30,165.0,735.0,57.12274169921875,37.12274169921875,657.5787963867188
31,0,31,195.0,735.0,57.984130859375,37.984130859375,658.440185546875
32,0,32,225.0,735.0,59.8975830078125,39.8975830078125,660.3536376953125
33,0,33,255.0,735.0,62.6431884765625,42.6431884765625,663.0992431640625
34,0,34,285.0,735.0,65.9031982421875,45.9031982421875,666.3592529296875
35,0,35,315.0,735.0,69.33209228515625,49.33209228515625,669.7881469726562
36,0,36,345.0,735.0,72.336181640625,52.336181640625,672.792236328125
37,0,37,375.0,735.0,74.8055419921875,54.8055419921875,675.2615966796875
38,0,38,405.0,735.0,77.24853515625,57.24853515625,677.70458984375
39,0,39,435.0,735.0,79.8919677734375,59.8919677734375,680.3480224609375
40,0,40,465.0,735.0,82.56500244140625,62.56500244140625,683.0210571289062
41,0,41,495.0,735.0,84.84051513671875,64.84051513671875,685.2965698242188
42,0,42,525.0,735.0,86.5277099609375,66.5277099609375,686.9837646484375
43,0,43,555.0,735.0,88.03765869140625,68.03765869140625,688.4937133789062
44,0,44,585.0,735.0,89.64056396484375,69.64056396484375,690.0966186523438
45,0,45,615.0,735.0,91.20428466796875,71.20428466796875,691.6603393554688
46,0,46,645.0,735.0,92.79498291015625,72.79498291015625,693.2510375976562
47,0,47,675.0,735.0,94.63134765625,74.63134765625,695.08740234375
48,0,48,705.0,735.0,96.728515625,76.728515625,697.1845703125
49,0,49,735.0,735.0,98.84527587890625,78.84527587890625,699.3013305664062
50,1,49,735.0,705.0,99.372314453125,79.372314453125,699.828369140625
51,2,49,735.0,675.0,99.7662353515625,79.7662353515625,700.2222900390625
52,3,49,735.0,645.0,99.864013671875,79.864013671875,700.320068359375
53,4,49,735.0,615.0,99.89019775390625,79.89019775390625,700.3462524414062
54,4,48,705.0,615.0,98.39019775390625,78.39019775390625,698.8462524414062
55,4,47,675.0,615.0,96.8221435546875,76.8221435546875,697.2781982421875
56,4,46,645.0,615.0,95.0185546875,75.0185546875,695.474609375
57,4,45,615.0,615.0,93.09149169921875,73.09149169921875,693.5475463867188
58,4,44,585.0,615.0,91.31768798828125,71.31768798828125,691.7737426757812
59,4,43,555.0,615.0,89.877197265625,69.877197265625,690.333251953125
60,4,42,525.0,615.0,88.78741455078125,68.78741455078125,689.2434692382812
61,4,41,495.0,615.0,88.014404296875,68.014404296875,688.470458984375
62,4,40,465.0,615.0,87.4384765625,67.4384765625,687.89453125
63,4,39,435.0,615.0,86.57952880859375,66.57952880859375,687.0355834960938
64,4,38,405.0,615.0,84.71624755859375,64.71624755859375,685.1723022460938
65,4,37,375.0,615.0,81.4931640625,61.4931640625,681.94921875
66,4,36,345.0,615.0,77.50970458984375,57.50970458984375,677.9657592773438
67,4,35,315.0,615.0,73.9005126953125,53.9005126953125,674.3565673828125
68,4,34,285.0,615.0,71.2591552734375,51.2591552734375,671.7152099609375
69,4,33,255.0,615.0,69.26641845703125,49.26641845703125,669.7224731445312
70,4,32,225.0,615.0,67.34100341796875,47.34100341796875,667.7970581054688
71,4,31,195.0,615.0,65.07537841796875,45.07537841796875,665.5314331054688
72,4,30,165.0,615.0,62.58807373046875,42.58807373046875,663.0441284179688
73,4,29,135.0,615.0,59.97210693359375,39.97210693359375,660.4281616210938
74,4,28,105.0,615.0,57.40380859375,37.40380859375,657.85986328125
75,4,27,75.0,615.0,55.277587890625,35.277587890625,655.733642578125
76,4,26,45.0,615.0,54.09173583984375,34.09173583984375,654.5477905273438
77,4,25,15.0,615.0,53.94921875,33.94921875,654.4052734375
78,4,24,-15.0,615.0,54.61041259765625,34.61041259765625,655.0664672851562
79,4,23,-45.0,615.0,55.8067626953125,35.8067626953125,656.2628173828125
80,4,22,-75.0,615.0,57.2095947265625,37.2095947265625,657.6656494140625
81,4,21,-105.0,615.0,58.51373291015625,38.51373291015625,658.9697875976562
82,4,20,-135.0,615.0,59.36480712890625,39.36480712890625,659.8208618164062
83,4,19,-165.0,615.0,59.73211669921875,39.73211669921875,660.1881713867188
84,4,18,-195.0,615.0,59.824462890625,39.824462890625,660.280517578125
85,4,17,-225.0,615.0,59.81597900390625,39.81597900390625,660.2720336914062
86,4,16,-255.0,615.0,59.71905517578125,39.71905517578125,660.1751098632812
87,4,15,-285.0,615.0,59.52728271484375,39.52728271484375,659.9833374023438
88,4,14,-315.0,615.0,59.2393798828125,39.2393798828125,659.6954345703125
89,4,13,-345.0,615.0,58.7696533203125,38.7696533203125,659.2257080078125
90,4,12,-375.0,615.0,57.96929931640625,37.96929931640625,658.4253540039062
91,4,11,-405.0,615.0,56.76605224609375,36.76605224609375,657.2221069335938
92,4,10,-435.0,615.0,55.37213134765625,35.37213134765625,655.8281860351562
93,4,9,-465.0,615.0,54.13165283203125,34.13165283203125,654.5877075195312
94,4,8,-495.0,615.0,53.1925048828125,33.1925048828125,653.6485595703125
95,4,7,-525.0,615.0,52.47216796875,32.47216796875,652.92822265625
96,4,6,-555.0,615.0,51.8040771484375,31.8040771484375,652.2601318359375
97,4,5,-585.0,615.0,51.10516357421875,31.10516357421875,651.5612182617188
98,4,4,-615.0,615.0,50.4197998046875,30.4197998046875,650.8758544921875
99,4,3,-645.0,615.0,49.80633544921875,29.80633544921875,650.2623901367188
100,4,2,-675.0,615.0,49.23828125,29.23828125,649.6943359375
101,4,1,-705.0,615.0,48.68328857421875,28.68328857421875,649.1393432617188
102,4,0,-735.0,615.0,48.0694580078125,28.0694580078125,648.5255126953125
103,5,0,-735.0,585.0,47.497314453125,27.497314453125,647.953369140625
104,6,0,-735.0,555.0,47.360107421875,27.360107421875,647.816162109375
105,7,0,-735.0,525.0,47.43438720703125,27.43438720703125,647.8904418945312
106,8,0,-735.0,495.0,47.48602294921875,27.48602294921875,647.9420776367188
107,8,1,-705.0,495.0,47.55364990234375,27.55364990234375,648.0097045898438
108,8,2,-675.0,495.0,47.60662841796875,27.60662841796875,648.0626831054688
109,8,3,-645.0,495.0,47.704345703125,27.704345703125,648.160400390625
110,8,4,-615.0,495.0,47.78082275390625,27.78082275390625,648.2368774414062
111,8,5,-585.0,495.0,48.23614501953125,28.23614501953125,648.6921997070312
112,8,6,-555.0,495.0,48.829833984375,28.829833984375,649.285888671875
113,8,7,-525.0,495.0,49.58367919921875,29.58367919921875,650.0397338867188
114,8,8,-495.0,495.0,50.37725830078125,30.37725830078125,650.8333129882812
115,8,9,-465.0,495.0,51.438232421875,31.438232421875,651.894287109375
116,8,10,-435.0,495.0,52.760986328125,32.760986328125,653.217041015625
117,8,11,-405.0,495.0,54.0399169921875,34.0399169921875,654.4959716796875
118,8,12,-375.0,495.0,54.82769775390625,34.82769775390625,655.2837524414062
119,8,13,-345.0,495.0,55.03643798828125,35.03643798828125,655.4924926757812
120,8,14,-315.0,495.0,55.06597900390625,35.06597900390625,655.5220336914062
121,8,15,-285.0,495.0,55.3294677734375,35.3294677734375,655.7855224609375
122,8,16,-255.0,495.0,56.0538330078125,36.0538330078125,656.5098876953125
123,8,17,-225.0,495.0,56.72064208984375,36.72064208984375,657.1766967773438
124,8,18,-195.0,495.0,56.78289794921875,36.78289794921875,657.2389526367188
125,8,19,-165.0,495.0,55.8226318359375,35.8226318359375,656.2786865234375
126,8,20,-135.0,495.0,54.2601318359375,34.2601318359375,654.7161865234375
127,8,21,-105.0,495.0,52.20465087890625,32.20465087890625,652.6607055664062
128,8,22,-75.0,495.0,50.6043701171875,30.6043701171875,651.0604248046875
129,8,23,-45.0,495.0,49.65362548828125,29.65362548828125,650.1096801757812
130,8,24,-15.0,495.0,49.94659423828125,29.94659423828125,650.4026489257812
131,8,25,15.0,495.0,51.575927734375,31.575927734375,652.031982421875
132,8,26,45.0,495.0,53.91424560546875,33.91424560546875,654.3703002929688
133,8,27,75.0,495.0,56.60406494140625,36.60406494140625,657.0601196289062
134,8,28,105.0,495.0,59.22528076171875,39.22528076171875,659.6813354492188
135,8,29,135.0,495.0,61.8428955078125,41.8428955078125,662.2989501953125
136,8,30,165.0,495.0,64.2808837890625,44.2808837890625,664.7369384765625
137,8,31,195.0,495.0,66.72613525390625,46.72613525390625,667.1821899414062
138,8,32,225.0,495.0,68.8037109375,48.8037109375,669.259765625
139,8,33,255.0,495.0,70.41107177734375,50.41107177734375,670.8671264648438
140,8,34,285.0,495.0,72.529296875,52.529296875,672.9853515625
141,8,35,315.0,495.0,76.589111328125,56.589111328125,677.045166015625
142,8,36,345.0,495.0,83.2127685546875,63.2127685546875,683.6688232421875
143,8,37,375.0,495.0,90.12017822265625,70.12017822265625,690.5762329101562
144,8,38,405.0,495.0,94.48699951171875,74.48699951171875,694.9430541992188
145,8,39,435.0,495.0,94.41058349609375,74.41058349609375,694.8666381835938
146,8,40,465.0,495.0,91.61846923828125,71.61846923828125,692.0745239257812
147,8,41,495.0,495.0,89.220458984375,69.220458984375,689.676513671875
148,8,42,525.0,495.0,89.1175537109375,69.1175537109375,689.5736083984375
149,8,43,555.0,495.0,90.60076904296875,70.60076904296875,691.0568237304688
150,8,44,585.0,495.0,92.25811767578125,72.25811767578125,692.7141723632812
151,8,45,615.0,495.0,93.89105224609375,73.89105224609375,694.3471069335938
152,8,46,645.0,495.0,95.52569580078125,75.52569580078125,695.9817504882812
153,8,47,675.0,495.0,97.3880615234375,77.3880615234375,697.8441162109375
154,8,48,705.0,495.0,99.294677734375,79.294677734375,699.750732421875
155,8,49,735.0,495.0,101.045654296875,81.045654296875,701.501708984375
156,9,49,735.0,465.0,101.5673828125,81.5673828125,702.0234375
157,10,49,735.0,435.0,102.16180419921875,82.16180419921875,702.6178588867188
158,11,49,735.0,405.0,102.2288818359375,82.2288818359375,702.6849365234375
159,12,49,735.0,375.0,101.1402587890625,81.1402587890625,701.5963134765625
160,12,48,705.0,375.0,100.4068603515625,80.4068603515625,700.8629150390625
161,12,47,675.0,375.0,99.2904052734375,79.2904052734375,699.7464599609375
162,12,46,645.0,375.0,96.9461669921875,76.9461669921875,697.4022216796875
163,12,45,615.0,375.0,94.12664794921875,74.12664794921875,694.5827026367188
164,12,44,585.0,375.0,91.12628173828125,71.12628173828125,691.5823364257812
165,12,43,555.0,375.0,88.285888671875,68.285888671875,688.741943359375
166,12,42,525.0,375.0,86.34710693359375,66.34710693359375,686.8031616210938
167,12,41,495.0,375.0,85.2275390625,65.2275390625,685.68359375
168,12,40,465.0,375.0,85.08660888671875,65.08660888671875,685.5426635742188
169,12,39,435.0,375.0,85.33709716796875,65.33709716796875,685.7931518554688
170,12,38,405.0,375.0,84.5533447265625,64.5533447265625,685.0093994140625
171,12,37,375.0,375.0,81.99658203125,61.99658203125,682.45263671875
172,12,36,345.0,375.0,77.93829345703125,57.93829345703125,678.3943481445312
173,12,35,315.0,375.0,73.87060546875,53.87060546875,674.32666015625
174,12,34,285.0,375.0,70.56573486328125,50.56573486328125,671.0217895507812
175,12,33,255.0,375.0,67.87579345703125,47.87579345703125,668.3318481445312
176,12,32,225.0,375.0,65.54815673828125,45.54815673828125,666.0042114257812
177,12,31,195.0,375.0,63.65264892578125,43.65264892578125,664.1087036132812
178,12,30,165.0,375.0,61.93072509765625,41.93072509765625,662.3867797851562
179,12,29,135.0,375.0,60.2266845703125,40.2266845703125,660.6827392578125
180,12,28,105.0,375.0,58.2578125,38.2578125,658.7138671875
181,12,27,75.0,375.0,55.9991455078125,35.9991455078125,656.4552001953125
182,12,26,45.0,375.0,53.321533203125,33.321533203125,653.777587890625
183,12,25,15.0,375.0,50.45928955078125,30.45928955078125,650.9153442382812
184,12,24,-15.0,375.0,48.0462646484375,28.0462646484375,648.5023193359375
185,12,23,-45.0,375.0,46.750732421875,26.750732421875,647.206787109375
186,12,22,-75.0,375.0,46.71307373046875,26.71307373046875,647.1691284179688
187,12,21,-105.0,375.0,47.6270751953125,27.6270751953125,648.0831298828125
188,12,20,-135.0,375.0,49.148681640625,29.148681640625,649.604736328125
189,12,19,-165.0,375.0,51.02886962890625,31.02886962890625,651.4849243164062
190,12,18,-195.0,375.0,52.7471923828125,32.7471923828125,653.2032470703125
191,12,17,-225.0,375.0,53.84283447265625,33.84283447265625,654.2988891601562
192,12,16,-255.0,375.0,53.984375,33.984375,654.4404296875
193,12,15,-285.0,375.0,53.558349609375,33.558349609375,654.014404296875
194,12,14,-315.0,375.0,52.84698486328125,32.84698486328125,653.3030395507812
195,12,13,-345.0,375.0,52.0728759765625,32.0728759765625,652.5289306640625
196,12,12,-375.0,375.0,51.2457275390625,31.2457275390625,651.7017822265625
197,12,11,-405.0,375.0,50.5965576171875,30.5965576171875,651.0526123046875
198,12,10,-435.0,375.0,50.1009521484375,30.1009521484375,650.5570068359375
199,12,9,-465.0,375.0,49.51300048828125,29.51300048828125,649.9690551757812
200,12,8,-495.0,375.0,48.78875732421875,28.78875732421875,649.2448120117188
201,12,7,-525.0,375.0,48.0362548828125,28.0362548828125,648.4923095703125
202,12,6,-555.0,375.0,47.50103759765625,27.50103759765625,647.9570922851562
203,12,5,-585.0,375.0,47.0838623046875,27.0838623046875,647.5399169921875
204,12,4,-615.0,375.0,46.71630859375,26.71630859375,647.17236328125
205,12,3,-645.0,375.0,46.23876953125,26.23876953125,646.69482421875
206,12,2,-675.0,375.0,45.81207275390625,25.81207275390625,646.2681274414062
207,12,1,-705.0,375.0,45.52203369140625,25.52203369140625,645.9780883789062
208,12,0,-735.0,375.0,45.717529296875,25.717529296875,646.173583984375
209,13,0,-735.0,345.0,45.22930908203125,25.22930908203125,645.6853637695312
210,14,0,-735.0,315.0,44.7493896484375,24.7493896484375,645.2054443359375
211,15,0,-735.0,285.0,44.3800048828125,24.3800048828125,644.8360595703125
212,16,0,-735.0,255.0,43.7506103515625,23.7506103515625,644.2066650390625
213,16,1,-705.0,255.0,43.775390625,23.775390625,644.2314453125
214,16,2,-675.0,255.0,43.74609375,23.74609375,644.2021484375
215,16,3,-645.0,255.0,43.9312744140625,23.9312744140625,644.3873291015625
216,16,4,-615.0,255.0,44.60302734375,24.60302734375,645.05908203125
217,16,5,-585.0,255.0,45.68658447265625,25.68658447265625,646.1426391601562
218,16,6,-555.0,255.0,46.962158203125,26.962158203125,647.418212890625
219,16,7,-525.0,255.0,48.29473876953125,28.29473876953125,648.7507934570312
220,16,8,-495.0,255.0,49.5281982421875,29.5281982421875,649.9842529296875
221,16,9,-465.0,255.0,50.50506591796875,30.50506591796875,650.9611206054688
222,16,10,-435.0,255.0,51.1097412109375,31.1097412109375,651.5657958984375
223,16,11,-405.0,255.0,51.4468994140625,31.4468994140625,651.9029541015625
224,16,12,-375.0,255.0,51.6927490234375,31.6927490234375,652.1488037109375
225,16,13,-345.0,255.0,51.93115234375,31.93115234375,652.38720703125
226,16,14,-315.0,255.0,52.1534423828125,32.1534423828125,652.6094970703125
227,16,15,-285.0,255.0,52.29400634765625,32.29400634765625,652.7500610351562
228,16,16,-255.0,255.0,52.28021240234375,32.28021240234375,652.7362670898438
229,16,17,-225.0,255.0,51.963134765625,31.963134765625,652.419189453125
230,16,18,-195.0,255.0,51.3656005859375,31.3656005859375,651.8216552734375
231,16,19,-165.0,255.0,50.42755126953125,30.42755126953125,650.8836059570312
232,16,20,-135.0,255.0,49.1234130859375,29.1234130859375,649.5794677734375
233,16,21,-105.0,255.0,47.3275146484375,27.3275146484375,647.7835693359375
234,16,22,-75.0,255.0,45.1973876953125,25.1973876953125,645.6534423828125
235,16,23,-45.0,255.0,43.6082763671875,23.6082763671875,644.0643310546875
236,16,24,-15.0,255.0,43.57318115234375,23.57318115234375,644.0292358398438
237,16,25,15.0,255.0,45.12530517578125,25.12530517578125,645.5813598632812
238,16,26,45.0,255.0,47.56427001953125,27.56427001953125,648.0203247070312
239,16,27,75.0,255.0,50.19091796875,30.19091796875,650.64697265625
240,16,28,105.0,255.0,52.70770263671875,32.70770263671875,653.1637573242188
241,16,29,135.0,255.0,55.16424560546875,35.16424560546875,655.6203002929688
242,16,30,165.0,255.0,57.462890625,37.462890625,657.9189453125
243,16,31,195.0,255.0,59.65460205078125,39.65460205078125,660.1106567382812
244,16,32,225.0,255.0,61.74566650390625,41.74566650390625,662.2017211914062
245,16,33,255.0,255.0,63.79498291015625,43.79498291015625,664.2510375976562
246,16,34,285.0,255.0,65.90228271484375,45.90228271484375,666.3583374023438
247,16,35,315.0,255.0,68.22900390625,48.22900390625,668.68505859375
248,16,36,345.0,255.0,70.88800048828125,50.88800048828125,671.3440551757812
249,16,37,375.0,255.0,73.6533203125,53.6533203125,674.109375
250,16,38,405.0,255.0,76.03997802734375,56.03997802734375,676.4960327148438
251,16,39,435.0,255.0,77.78839111328125,57.78839111328125,678.2444458007812
252,16,40,465.0,255.0,79.099853515625,59.099853515625,679.555908203125
253,16,41,495.0,255.0,80.37030029296875,60.37030029296875,680.8263549804688
254,16,42,525.0,255.0,81.822509765625,61.822509765625,682.278564453125
255,16,43,555.0,255.0,83.48956298828125,63.48956298828125,683.9456176757812
256,16,44,585.0,255.0,85.3587646484375,65.3587646484375,685.8148193359375
257,16,45,615.0,255.0,87.46636962890625,67.46636962890625,687.9224243164062
258,16,46,645.0,255.0,89.33050537109375,69.33050537109375,689.7865600585938
259,16,47,675.0,255.0,90.46502685546875,70.46502685546875,690.9210815429688
260,16,48,705.0,255.0,90.8013916015625,70.8013916015625,691.2574462890625
261,16,49,735.0,255.0,90.59027099609375,70.59027099609375,691.0463256835938
262,17,49,735.0,225.0,87.681884765625,67.681884765625,688.137939453125
263,18,49,735.0,195.0,84.25457763671875,64.25457763671875,684.7106323242188
264,19,49,735.0,165.0,80.605224609375,60.605224609375,681.061279296875
265,20,49,735.0,135.0,77.1962890625,57.1962890625,677.65234375
266,20,48,705.0,135.0,77.8406982421875,57.8406982421875,678.2967529296875
267,20,47,675.0,135.0,78.6337890625,58.6337890625,679.08984375
268,20,46,645.0,135.0,79.2021484375,59.2021484375,679.658203125
269,20,45,615.0,135.0,78.8778076171875,58.8778076171875,679.3338623046875
270,20,44,585.0,135.0,78.0919189453125,58.0919189453125,678.5479736328125
271,20,43,555.0,135.0,76.8895263671875,56.8895263671875,677.3455810546875
272,20,42,525.0,135.0,75.53570556640625,55.53570556640625,675.9917602539062
273,20,41,495.0,135.0,74.22900390625,54.22900390625,674.68505859375
274,20,40,465.0,135.0,73.19793701171875,53.19793701171875,673.6539916992188
275,20,39,435.0,135.0,72.2470703125,52.2470703125,672.703125
276,20,38,405.0,135.0,70.8924560546875,50.8924560546875,671.3485107421875
277,20,37,375.0,135.0,68.83587646484375,48.83587646484375,669.2919311523438
278,20,36,345.0,135.0,66.282958984375,46.282958984375,666.739013671875
279,20,35,315.0,135.0,63.62261962890625,43.62261962890625,664.0786743164062
280,20,34,285.0,135.0,61.12445068359375,41.12445068359375,661.5805053710938
281,20,33,255.0,135.0,58.8433837890625,38.8433837890625,659.2994384765625
282,20,32,225.0,135.0,56.87969970703125,36.87969970703125,657.3357543945312
283,20,31,195.0,135.0,54.96527099609375,34.96527099609375,655.4213256835938
284,20,30,165.0,135.0,52.73956298828125,32.73956298828125,653.1956176757812
285,20,29,135.0,135.0,49.45428466796875,29.45428466796875,649.9103393554688
